Experiment	Rep 	Treatment	Bacterium	Plant 	Label	Compartment 	FM	Dilution_factor 	0	1	2	3	4	5
III	3	NaCl	R401_LP	Lotus japonicus	26A	Shoot	26.4	10	18	1	no	no	no	no
III	3	NaCl	R401_LP	Lotus japonicus	26B	Root	16.2	10	x	x	x	52	21	4
III	3	NaCl	R401_LP	Lotus japonicus	26B	Shoot	12.6	10	x	59	4	2	1	no
III	3	NaCl	R401_LP	Lotus japonicus	26C	Root	18.5	10	x	x	x	80	17	5
III	3	NaCl	R401_LP	Lotus japonicus	26C	Shoot	13.8	10	x	58	7	no	no	no
III	3	NaCl	R401_LP	Lotus japonicus	26D	Root	10.1	10	x	x	80	10	3	1
III	3	NaCl	R401_LP	Lotus japonicus	26D	Shoot	16.9	10	34	6	no	no	no	no
III	3	NaCl	R401_LP	Lotus japonicus	26E	Root	9.8	10	x	x	x	37	4	5
III	3	NaCl	R401_LP	Lotus japonicus	26E	Shoot	10.8	10	x	x	70	5	1	1
III	3	NaCl	R401_LP	Micro Tom	20A	Root	0	10	x	x	x	x	x	x
III	3	NaCl	R401_LP	Micro Tom	20A	Shoot	0	10	x	x	x	x	x	x
III	3	NaCl	R401_LP	Micro Tom	20B	Root	0	10	x	x	x	x	x	x
III	3	NaCl	R401_LP	Micro Tom	20B	Shoot	0	10	x	x	x	x	x	x
III	3	NaCl	R401_LP	Micro Tom	20C	Root	1.8	10	x	69	4	no	no	no
III	3	NaCl	R401_LP	Micro Tom	20C	Shoot	14.8	10	x	x	x	x	57	25
III	3	NaCl	R401_LP	Micro Tom	20D	Root	0	10	x	x	x	x	x	x
III	3	NaCl	R401_LP	Micro Tom	20D	Shoot	0.3	10	x	x	x	x	x	x
III	3	NaCl	R401_LP	Micro Tom	20E	Root	2.5	10	x	x	85	9	3	no
III	3	NaCl	R401_LP	Micro Tom	20E	Shoot	15	10	x	x	x	x	79	42
III	3	NaCl	R401_WT	Lotus japonicus	25A	Root	15.8	10	x	x	x	38	11	9
III	3	NaCl	R401_WT	Lotus japonicus	25A	Shoot	24.3	10	48	7	no	no	no	no
III	3	NaCl	R401_WT	Lotus japonicus	25B	Root	13.1	10	x	x	x	160	32	11
III	3	NaCl	R401_WT	Lotus japonicus	25B	Shoot	15.6	10	45	6	no	no	no	no
III	3	NaCl	R401_WT	Lotus japonicus	25C	Root	3.6	10	x	x	x	108	34	15
III	3	NaCl	R401_WT	Lotus japonicus	25C	Shoot	6	10	x	118	17	1	1	no
III	3	NaCl	R401_WT	Lotus japonicus	25D	Root	8.3	10	x	x	x	x	46	10
III	3	NaCl	R401_WT	Lotus japonicus	25D	Shoot	15.2	10	x	150	27	3	no	no
III	3	NaCl	R401_WT	Lotus japonicus	25E	Root	19.6	10	x	x	x	x	47	18
III	3	NaCl	R401_WT	Lotus japonicus	25E	Shoot	17.6	10	x	18	no	no	no	no
III	3	NaCl	R401_WT	Micro Tom	19A	Root	3	10	x	x	99	19	3	5
III	3	NaCl	R401_WT	Micro Tom	19A	Shoot	13.9	10	x	x	x	x	94	51
III	3	NaCl	R401_WT	Micro Tom	19B	Root	0	10	x	x	x	x	x	x
III	3	NaCl	R401_WT	Micro Tom	19B	Shoot	0	10	x	x	x	x	x	x
III	3	NaCl	R401_WT	Micro Tom	19C	Root	1.4	10	x	x	31	10	1	no
III	3	NaCl	R401_WT	Micro Tom	19C	Shoot	5.4	10	x	x	55	7	6	no
III	3	NaCl	R401_WT	Micro Tom	19D	Root	0	10	x	x	x	x	x	x
III	3	NaCl	R401_WT	Micro Tom	19D	Shoot	0	10	x	x	x	x	x	x
III	3	NaCl	R401_WT	Micro Tom	19E	Root	3.4	10	x	x	x	95	14	9
III	3	NaCl	R401_WT	Micro Tom	19E	Shoot	3.9	10	x	x	57	3	3	2
