Experiment	Bacterium	Treatment	Label	Rep	Plant	FW
II	R401_HK	cntrl	11A	2	rbohD	3.38
II	R401_HK	cntrl	11A	3	rbohD	3.8
II	R401_HK	cntrl	11B	1	rbohD	17.96666667
II	R401_HK	cntrl	11B	2	rbohD	2.1
II	R401_HK	cntrl	11B	3	rbohD	1.666666667
II	R401_HK	cntrl	11C	1	rbohD	9.733333333
II	R401_HK	cntrl	11C	2	rbohD	12.05
II	R401_HK	cntrl	11C	3	rbohD	0.7
II	R401_HK	cntrl	11D	1	rbohD	29.25
II	R401_HK	cntrl	11D	2	rbohD	3.08
II	R401_HK	cntrl	11D	3	rbohD	3.175
II	R401_HK	cntrl	11E	1	rbohD	15.55
II	R401_HK	cntrl	11E	2	rbohD	5.96
II	R401_HK	cntrl	11E	3	rbohD	0.625
II	R401_HK	cntrl	11F	1	rbohD	23.475
II	R401_HK	cntrl	11F	2	rbohD	2.02
II	R401_HK	cntrl	11F	3	rbohD	0.566666667
II	R401_HK	cntrl	3A	1	Col-0	6.92
II	R401_HK	cntrl	3A	2	Col-0	3.425
II	R401_HK	cntrl	3B	1	Col-0	16.825
II	R401_HK	cntrl	3B	2	Col-0	6.35
II	R401_HK	cntrl	3C	1	Col-0	12.6
II	R401_HK	cntrl	3C	2	Col-0	3.3
II	R401_HK	cntrl	3D	1	Col-0	21.275
II	R401_HK	cntrl	3D	2	Col-0	14.4
II	R401_HK	cntrl	3E	1	Col-0	15.9
II	R401_HK	cntrl	3E	2	Col-0	3.06
II	R401_HK	cntrl	3F	1	Col-0	12.025
II	R401_HK	cntrl	3F	2	Col-0	5.84
II	R401_HK	cntrl	3F	3	Col-0	4.6
II	R401_HK	cntrl	9A	1	rbohD	6.525
II	R401_HK	cntrl	9A	2	rbohD	3.025
II	R401_HK	cntrl	9A	3	rbohD	1
II	R401_HK	cntrl	9B	1	rbohD	4.96
II	R401_HK	cntrl	9B	2	rbohD	3.275
II	R401_HK	cntrl	9B	3	rbohD	2.3
II	R401_HK	cntrl	9C	1	rbohD	5.3
II	R401_HK	cntrl	9C	2	rbohD	7
II	R401_HK	cntrl	9D	1	rbohD	6.025
II	R401_HK	cntrl	9D	2	rbohD	3.35
II	R401_HK	cntrl	9D	3	rbohD	2.066666667
II	R401_HK	cntrl	9E	1	rbohD	8.133333333
II	R401_HK	cntrl	9E	2	rbohD	3.9
II	R401_HK	cntrl	9F	1	rbohD	11.16
II	R401_HK	cntrl	9F	2	rbohD	5.366666667
II	R401_HK	NaCl	13A	1	rbohD	7.625
II	R401_HK	NaCl	13A	2	rbohD	1.3
II	R401_HK	NaCl	13A	3	rbohD	1.066666667
II	R401_HK	NaCl	13B	1	rbohD	8.25
II	R401_HK	NaCl	13B	2	rbohD	1.366666667
II	R401_HK	NaCl	13B	3	rbohD	0.6
II	R401_HK	NaCl	13C	1	rbohD	5.225
II	R401_HK	NaCl	13C	2	rbohD	5.18
II	R401_HK	NaCl	13D	1	rbohD	3
II	R401_HK	NaCl	13D	2	rbohD	1.133333333
II	R401_HK	NaCl	13D	3	rbohD	0.866666667
II	R401_HK	NaCl	13E	1	rbohD	3.633333333
II	R401_HK	NaCl	13E	2	rbohD	0.425
