Flowpot	Plant	NaCl	SynCom	R401	Value																						
5	5	0 mM	MSC	HK	22.4																						
6	1	0 mM	MSC	HK	31.3																						
6	2	0 mM	MSC	HK	45.1																						
6	3	0 mM	MSC	HK	4.9																						
6	4	0 mM	MSC	HK	14.7																						
6	5	0 mM	MSC	HK	48.7																						
1	1	0 mM	MSC	WT	13.3																						
1	2	0 mM	MSC	WT	13.9																						
1	3	0 mM	MSC	WT	26.9																						
1	4	0 mM	MSC	WT	18.8																						
1	5	0 mM	MSC	WT	17.7																						
2	1	0 mM	MSC	WT	15.8																						
2	2	0 mM	MSC	WT	5.9																						
2	3	0 mM	MSC	WT	8.2																						
2	4	0 mM	MSC	WT	30.8																						
2	5	0 mM	MSC	WT	37.5																						
3	1	0 mM	MSC	WT	15.6																						
3	2	0 mM	MSC	WT	17.3																						
3	3	0 mM	MSC	WT	47.6																						
3	4	0 mM	MSC	WT	32.7																						
3	5	0 mM	MSC	WT	39.7																						
4	1	0 mM	MSC	WT	21.5																						
4	2	0 mM	MSC	WT	29																						
4	3	0 mM	MSC	WT	41.7																						
4	4	0 mM	MSC	WT	0																						
4	5	0 mM	MSC	WT	0																						
5	1	0 mM	MSC	WT	36																						
5	2	0 mM	MSC	WT	9.6																						
5	3	0 mM	MSC	WT	53.2																						
5	4	0 mM	MSC	WT	46.9																						
5	5	0 mM	MSC	WT	0																						
6	1	0 mM	MSC	WT	25.4																						
6	2	0 mM	MSC	WT	11																						
6	3	0 mM	MSC	WT	30.9																						
6	4	0 mM	MSC	WT	9																						
6	5	0 mM	MSC	WT	18.9																						
1	1	0 mM	MSC	dLP	21.7																						
1	2	0 mM	MSC	dLP	19.1																						
1	3	0 mM	MSC	dLP	30.3																						
1	4	0 mM	MSC	dLP	26.1																						
1	5	0 mM	MSC	dLP	43.3																						
2	1	0 mM	MSC	dLP	8.4																						
2	2	0 mM	MSC	dLP	37.7																						
2	3	0 mM	MSC	dLP	27.2																						
2	4	0 mM	MSC	dLP	54																						
2	5	0 mM	MSC	dLP	0																						
3	1	0 mM	MSC	dLP	14																						
3	2	0 mM	MSC	dLP	10.3																						
3	3	0 mM	MSC	dLP	18.5																						
3	4	0 mM	MSC	dLP	38.7																						
3	5	0 mM	MSC	dLP	15.2																						
4	1	0 mM	MSC	dLP	34.4																						
4	2	0 mM	MSC	dLP	13.9																						
4	3	0 mM	MSC	dLP	17.2																						
4	4	0 mM	MSC	dLP	17.9																						
4	5	0 mM	MSC	dLP	21.9																						
5	1	0 mM	MSC	dLP	25																						
5	2	0 mM	MSC	dLP	20.6																						
5	3	0 mM	MSC	dLP	20.3																						
5	4	0 mM	MSC	dLP	31.1																						
5	5	0 mM	MSC	dLP	38.1																						
6	1	0 mM	MSC	dLP	18.9																						
6	2	0 mM	MSC	dLP	35.2																						
6	3	0 mM	MSC	dLP	56.5																						
6	4	0 mM	MSC	dLP	18.5																						
6	5	0 mM	MSC	dLP	18.4																						
1	1	0 mM	MSC	dD4	25.7																						
1	2	0 mM	MSC	dD4	19.9																						
1	3	0 mM	MSC	dD4	25.5																						
1	4	0 mM	MSC	dD4	35.3																						
1	5	0 mM	MSC	dD4	61.2																						
2	1	0 mM	MSC	dD4	33.3																						
2	2	0 mM	MSC	dD4	34.8																						
2	3	0 mM	MSC	dD4	18.5																						
2	4	0 mM	MSC	dD4	14.9																						
2	5	0 mM	MSC	dD4	46.8																						
3	1	0 mM	MSC	dD4	24.4																						
3	2	0 mM	MSC	dD4	16.3																						
3	3	0 mM	MSC	dD4	39.3																						
3	4	0 mM	MSC	dD4	32.9																						
3	5	0 mM	MSC	dD4	28																						
4	1	0 mM	MSC	dD4	34.9																						
4	2	0 mM	MSC	dD4	36.5																						
4	3	0 mM	MSC	dD4	56.7																						
4	4	0 mM	MSC	dD4	0																						
4	5	0 mM	MSC	dD4	0																						
5	1	0 mM	MSC	dD4	39																						
5	2	0 mM	MSC	dD4	8.5																						
5	3	0 mM	MSC	dD4	23																						
5	4	0 mM	MSC	dD4	20.3																						
5	5	0 mM	MSC	dD4	66.2																						
6	1	0 mM	MSC	dD4	17.3																						
6	2	0 mM	MSC	dD4	24.4																						
6	3	0 mM	MSC	dD4	4.6																						
6	4	0 mM	MSC	dD4	30.8																						
6	5	0 mM	MSC	dD4	39.8																						
1	1	50 mM	no SC	HK	19.9																						
1	2	50 mM	no SC	HK	30.6																						
1	3	50 mM	no SC	HK	16.7																						
1	4	50 mM	no SC	HK	19																						
1	5	50 mM	no SC	HK	3.7																						
2	1	50 mM	no SC	HK	7.1																						
2	2	50 mM	no SC	HK	6.9																						
2	3	50 mM	no SC	HK	7.8																						
2	4	50 mM	no SC	HK	17.5																						
2	5	50 mM	no SC	HK	8.1																						
3	1	50 mM	no SC	HK	13.3																						
3	2	50 mM	no SC	HK	2.6																						
3	3	50 mM	no SC	HK	11.1																						
3	4	50 mM	no SC	HK	26.1																						
3	5	50 mM	no SC	HK	6.3																						
4	1	50 mM	no SC	HK	29.5																						
4	2	50 mM	no SC	HK	43.7																						
4	3	50 mM	no SC	HK	37																						
4	4	50 mM	no SC	HK	23.4																						
4	5	50 mM	no SC	HK	17.9																						
5	1	50 mM	no SC	HK	11.6																						
5	2	50 mM	no SC	HK	4.9																						
5	3	50 mM	no SC	HK	15.1																						
5	4	50 mM	no SC	HK	7.5																						
5	5	50 mM	no SC	HK	8.4																						
6	1	50 mM	no SC	HK	5.7																						
6	2	50 mM	no SC	HK	2.9																						
6	3	50 mM	no SC	HK	6.2																						
6	4	50 mM	no SC	HK	0.7																						
6	5	50 mM	no SC	HK	1.8																						
1	1	50 mM	no SC	WT	0.8																						
1	2	50 mM	no SC	WT	0.8																						
1	3	50 mM	no SC	WT	0.9																						
1	4	50 mM	no SC	WT	6.9																						
1	5	50 mM	no SC	WT	0																						
2	1	50 mM	no SC	WT	10																						
2	2	50 mM	no SC	WT	14.5																						
2	3	50 mM	no SC	WT	13.4																						
2	4	50 mM	no SC	WT	2.3																						
2	5	50 mM	no SC	WT	3.6																						
3	1	50 mM	no SC	WT	34.4																						
3	2	50 mM	no SC	WT	21.6																						
3	3	50 mM	no SC	WT	30.5																						
3	4	50 mM	no SC	WT	7.4																						
3	5	50 mM	no SC	WT	0																						
4	1	50 mM	no SC	WT	0.2																						
4	2	50 mM	no SC	WT	14.7																						
4	3	50 mM	no SC	WT	9.8																						
4	4	50 mM	no SC	WT	0																						
4	5	50 mM	no SC	WT	0																						
